DBNLti_id	DBNLpers_id	YearFirstPublished	YearEditionPublished	Edition	Woman	Born	Died	AuthorOrigin	DBNLgeb_land_code	DBNLgenre	DBNLsubgenre	Author	Title	Filename	ti_id_set	WPAuthor	AuthorInCanon2002	TitleInCanon2002	InBasisbibliotheek2008	AuthorDBRDMatches	AuthorNLWikipedia2019Matches	DBNLSecRefsAuthor	DBNLSecRefsTitle	holding	lending	GNTpages
love002erfe01	love002	1905	1906	1ste druk	1	1836	1923	Nevele		proza	roman	Virginie Loveling	Erfelijk belast	love002erfe01_01.xml	love002erfe01	Virginie Loveling	0	0	0	1	14	74	1	0	0	13
maur005opre01	maur005	1905	1912	2de druk	0	1846	1904	Amsterdam		proza	novelle(n)	Justus van Maurik	Op reis en thuis	maur005opre01_01.xml	maur005opre02,maur005opre01	Justus van Maurik jr.	0	0	0	0	10	27	0	0	0	5
mees009geer01	mees009	1905	1917	3de druk	0	1860	1931	Harderwijk		proza	roman	Johan de Meester	Geertje (2 delen)	mees009geer01_01.xml	mees009geer01,mees009geer02	Johan de Meester	0	0	0	0	25	59	13	1	0	1
scha042spro01	scha042	1905	1905	1ste druk	1	1869	1957	Zutphen		proza,jeugdliteratuur	roman,roman (populair/bestseller)	Margo Scharten-Antink	Sprotje	scha042spro01_01.xml	scha042spro01	Margo Scharten-Antink	0	0	1	0	2	51	6	6	3	0
schl016kast03	schl016	1905	1920	4de druk	1	1877	1946			proza,jeugdliteratuur	roman	Alberdina Hermanna Schlüter	Kasteel Rompersburgen	schl016kast03_01.xml	schl016kast03,schl016kast01		0	0	0	0	0	0	0	1	0	0
verm011mann01	verm011	1905	1905	1ste druk	0	1877	1924	Veurne		proza	roman	Gustaaf Vermeersch	Mannenwetten. Deel 1	verm011mann01_01.xml	verm011mann01	Gustaaf Vermeersch	0	0	0	0	4	10	6	0	0	8
wehl002bosc01	wehl002	1905	1932	3de druk	1	1880	1944	Den Haag		proza,jeugdliteratuur	roman	Nannie van Wehl	De Boschjes-club	wehl002bosc01_01.xml	wehl002bosc01,wehl002bosc02	Nannie van Wehl	0	0	0	0	0	6	0	0	0	0
albe002hare01	albe002	1906	1906	1ste druk	1	1848	1908	Amsterdam		proza	roman	Catharina Alberdingk Thijm	Den harem ontvlucht. Een Turksch verhaal uit onze dagen (juni 1904-1906)	albe002hare01_01.xml	albe002hare01	Catharina Alberdingk Thijm	0	0	0	0	0	5	0	0	0	6
brus002land01	brus002	1906	1906	1ste druk	0	1873	1941	Amsterdam		proza	roman	M.J. Brusse	Landlooperij	brus002land01_01.xml	brus002land01	Marie Joseph Brusse	0	0	0	0	8	21	3	0	0	5
buys009tbol01	buys009	1906	1917	2de druk	0	1859	1932	Nevele		proza	roman	Cyriel Buysse	't Bolleken	buys009tbol01_01.xml	buys009vanh01,buys009stri01,buys009tbol01,buys009leve01,buys009leve03,buys009verz02,buys009tbol02,buys009nach01,buys009ezel01,buys009voll01,buys009ezel02	Cyriel Buysse	0	0	0	4	38	166	37	0	0	7
feit004uitp07	feit004	1906	1911	4de druk	0	1874	1944	Amsterdam		proza,jeugdliteratuur	roman	Jan Feith	Uit Piet's vlegeljaren	feit004uitp07_01.xml	feit004uitp07,feit004uitp01	Jan Feith	0	0	0	0	9	23	0	0	0	0
huf_001twee01	huf_001	1906	1906	1ste druk	0	1843	1910	Avezaat bij Tiel		proza	novelle(n)	J. Huf van Buren	De twee invasies. Hoe grootvaders broer uit den oost weerkeerde	huf_001twee01_01.xml	huf_001twee01	Johan Adriaan Heuff	0	0	0	0	3	19	0	0	0	0
jowa001claa01	jowa001	1906	1906	1ste druk	1	1880	1965	Enschede		proza,jeugdliteratuur	roman	A. Jowal	Claartje	jowa001claa01_01.xml	jowa001claa01		0	0	0	0	0	0	0	0	0	0
kiev001twee09	kiev001	1906	1906	1ste druk	0	1858	1931	Hoofddorp		proza,jeugdliteratuur	historische roman	C.J. Kieviet	De twee broeders. Een Kennemer legende uit de jaren 1420-1436	kiev001twee09_01.xml	kiev001twee09	Cornelis Johannes Kieviet	0	0	0	0	6	11	0	8	0	0
oord001warh01	oord001	1906	1924	3de druk	0	1865	1910	Dresden	duits01	proza	historische roman	Adriaan van Oordt	Warhold	oord001warh01_01.xml	oord001warh02,oord001warh01	Adriaan van Oordt	0	0	0	0	1	22	9	0	0	4
such003quia01	such003	1906	1906	1ste druk	0	1878	1949	Amsterdam		proza	roman,non-fictie/geschiedenis/tijdsbeeld(en)	Nico van Suchtelen	Quia absurdum	such003quia01_01.xml	such003quia01	Nico van Suchtelen	0	0	1	0	10	45	9	1	1	0
vlet002admi03	vlet002	1906	1923	3de druk	0	1866	1935	Scheveningen		proza,jeugdliteratuur	roman	A.C.C. de Vletter	Admiraal Snor	vlet002admi03_01.xml	vlet002admi01,vlet002admi03		0	0	0	0	1	4	0	0	0	0
abko001bert03	abko001	1907	1920	4de druk	0	1880	1960	Rotterdam		proza,jeugdliteratuur	roman	Chr. van Abkoude	Bert en Bram	abko001bert03_01.xml	abko001bert03,abko001bert01	Chris van Abkoude	0	0	0	1	17	8	0	1	1	2
abko001holl02	abko001	1907	1912	2de druk	0	1880	1960	Rotterdam		proza,jeugdliteratuur	roman	Chr. van Abkoude	Hollandsche jongens	abko001holl02_01.xml	abko001holl01,abko001holl02	Chris van Abkoude	0	0	0	1	17	8	0	0	0	2
brug004insc01	brug004	1907	1907	1ste druk	1	1881	1932	Smilde		proza	roman	Carry van Bruggen	In de schaduw (van kinderleven)	brug004insc01_01.xml	brug004inde01,brug004insc01	Carry van Bruggen	1	0	0	4	18	68	4	3	5	0
goud005zoek01	goud005	1907	1918	2de, herziene druk	0	1884	1954	Kampen		proza	roman	Sam Goudsmit	Zoekenden	goud005zoek01_01.xml	goud005zoek03,goud005zoek01	Sam Goudsmit	0	0	0	0	1	13	6	0	0	5
hube006tant02	hube006	1907	1917	2de druk	1	1882	1926	Breda		proza,jeugdliteratuur	roman	Anna Hubert van Beusekom	Tante Loesje	hube006tant02_01.xml	hube006tant02,hube006tant01	Anna Hubert van Beusekom	0	0	0	0	0	4	0	2	0	0
hulz002ontr01	hulz002	1907	1907	1ste druk	0	1860	1940	Zwolle		proza	roman	Gerard van Hulzen	De ontredderden. Eerste bundel	hulz002ontr01_01.xml	hulz002ontr01	Gerard van Hulzen	0	0	0	0	0	27	0	0	0	8
jehu001geni02	jehu001	1907	1917	2de druk	1	1865	1956	Breda		proza,jeugdliteratuur	roman	Felicie Jehu	Een geniaal zestal	jehu001geni02_01.xml	jehu001geni02,jehu001geni01	Felicie Jehu	0	0	0	0	0	0	0	0	0	0
maas003peel01	maas003	1907	1969	1ste druk	0	1877	1958	Oostrum		proza	roman	H.H.J. Maas	Peel omnibus	maas003peel01_01.xml	maas003peel01,maas003goud01,maas003goud02,maas003vers02,maas003land01,maas003vers01	H.H.J. Maas	0	0	0	0	0	5	2	0	0	0
maas003vers02	maas003	1907	1930	4de druk	0	1877	1958	Oostrum		proza	roman	H.H.J. Maas	Verstooteling	maas003vers02_01.xml	maas003peel01,maas003goud01,maas003goud02,maas003vers02,maas003land01,maas003vers01	H.H.J. Maas	0	0	0	0	0	5	2	0	0	0
sabb002filo01	sabb002	1907	1918	4de druk	0	1873	1938	Brugge		proza	novelle(n)	Maurits Sabbe	De filosoof van 't Sashuis	sabb002filo01_01.xml	sabb002filo01,sabb002filo02	Maurits Sabbe	0	0	0	0	20	71	7	2	0	1
salo001meis01	salo001	1907	1907	1ste druk	1	1885	1980	Rotterdam		proza,jeugdliteratuur	roman	Annie Salomons	Een meisje-studentje	salo001meis01_01.xml	salo001meis01	Annie Salomons	0	0	0	0	10	41	6	0	0	0
sche034zwer02	sche034	1907	1907	1ste druk	0	1874	1946	Batavia	indon01	proza	roman	Arthur van Schendel	Een zwerver verdwaald	sche034zwer02_01.xml	alco002minn01,sche034berg01,sche034pand01,sche034tris01,sche034safi01,sche034zwer02,sche034rose01,sche034verh01,sche034verz02,sche034ouit01,sche034angi01,sche034shak01,sche034mens01,sche034verz03,sche034drog01,sche034scho01,sche034blan01,sche034blid01,sche034zwer01	Arthur van Schendel	1	1	0	2	17	165	56	6	11	1
stre009vlas01	stre009	1907	1907	1ste druk	0	1871	1969	Heule		proza	roman	Stijn Streuvels	De vlaschaard	stre009vlas01_01.xml	stre009vlas01	Stijn Streuvels	1	0	0	2	84	236	20	2	1	1
verm043vanz02	verm043	1907	1920	2de druk	0	1857	1944	Kortrijk		proza	roman	René Vermandere	Van Zon-zaliger. Door hem zelf	verm043vanz02_01.xml	verm043vanz02,verm043vanz01		0	0	0	0	0	6	1	0	0	0
waal007noor01	waal007	1907	1907	1ste druk	1	1868	1922	Den Haag		proza	roman	Jacqueline van der Waals	Noortje Velt	waal007noor01_01.xml	waal007noor01	Jacqueline E. van der Waals	0	0	0	0	8	23	3	0	0	7
werm001boy_02	werm001	1907	1930	1ste druk	0	1886	1964			proza	roman	Henri van Wermeskerken	Boy	werm001boy_02_01.xml	werm001boy_01,werm001boy_02		0	0	0	0	2	12	3	0	0	1
wit_001dure01	wit_001	1907	1920	3de druk	1	1864	1939	Sibolga (Sumatra)	indon01	proza	roman	Augusta de Wit	Het dure moederschap	wit_001dure01_01.xml	wit_001dure01,wit_001dure02	Augusta de Wit	0	0	0	2	4	37	3	0	0	20
oliv001quas01	oliv001	1907	1907	1ste druk	0	1886	1944	Amsterdam		proza	roman	E. d'Oliveira	Quasi-socialisten. Hollanders te Antwerpen. Deel 1	oliv001quas01_01.xml	oliv001quas01		0	0	0	0	0	8	1	0	0	0
